device,model,size,batch_size,ms / img (sync),std dev (sync),ms / img (no sync),std dev (no sync)
GTX 1080 Ti,MobileStyleGenerator,1024,2,41.248,0.705,36.073,4.509
GTX 1080 Ti,MobileStyleGenerator,256,4,5.523,0.185,5.003,0.344
GTX 1080 Ti,MobileStyleGenerator,512,4,12.916,0.463,11.297,1.209
GTX 1080 Ti,MobileStyleGenerator,1024,4,42.980,0.537,35.648,5.257
GTX 1080 Ti,MobileStyleGenerator,256,8,3.286,0.121,2.856,0.237
GTX 1080 Ti,MobileStyleGenerator,512,8,9.626,0.307,8.352,1.077
GTX 1080 Ti,MobileStyleGenerator,1024,8,35.444,0.123,28.849,4.517
GTX 1080 Ti,MobileStyleGenerator,256,10,2.861,0.119,2.432,0.184
GTX 1080 Ti,MobileStyleGenerator,512,10,8.223,0.262,6.939,0.859
GTX 1080 Ti,MobileStyleGenerator,1024,10,30.712,0.120,24.221,3.662
GTX 1080 Ti,MobileStyleGenerator,256,12,2.854,0.071,2.461,0.283
GTX 1080 Ti,MobileStyleGenerator,512,12,9.644,0.111,7.826,1.097
GTX 1080 Ti,MobileStyleGenerator,1024,12,35.708,0.276,28.929,4.691
GTX 1080 Ti,MobileStyleGenerator,256,14,2.757,0.026,2.392,0.287
GTX 1080 Ti,MobileStyleGenerator,512,14,9.549,0.091,7.760,1.105
GTX 1080 Ti,MobileStyleGenerator,1024,14,35.493,0.052,28.807,4.708
